OBJECTID,Geocoded_Address
1,"Via Nacional San Diego California, 92173"
2,"2699 Customhouse Ct San Diego California, 92154"
3,"8770 Siempre Viva Rd San Diego California, 92154"
4,"2314 Enrico Fermi Dr San Diego California, 92154"
5,"8755 Avenida de la Fuente San Diego California, 92154"
6,"8222 Airway Rd San Diego California, 92154"
7,"1801 Dornoch Ct San Diego California, 92154"
8,"1675 Precision Park Ln San Diego California, 92173"
9,"2960 Fern Ave San Diego California, 92154"
10,"994 9th St Imperial Beach California, 91932"
11,"640 16th St San Diego California, 92154"
12,"126 Orange Ave Chula Vista California, 91911"
13,"I-5 N Chula Vista California, 91911"
14,"1684 Eastlake Pkwy Chula Vista California, 91915"
15,"851 3rd Ave Chula Vista California, 91911"
16,"754 3rd Ave Chula Vista California, 91910"
17,"648 Telegraph Canyon Rd Chula Vista California, 91910"
18,"801 Chervil Ct Chula Vista California, 91910"
19,"1211 Telegraph Canyon Rd Chula Vista California, 91913"
20,"409 Telegraph Canyon Rd Chula Vista California, 91910"
21,"437 H St Chula Vista California, 91910"
23,"2341 Clubhouse Dr Chula Vista California, 91915"
26,"128 Bonita Rd Chula Vista California, 91910"
27,"2515 Otay Lakes Rd Chula Vista California, 91914"
28,"751 Eastshore Ter Chula Vista California, 91913"
29,"3062 Plaza Bonita Rd National City California, 91950"
30,"2694 Gretchen Way National City California, 91950"
31,"4692 Sweetwater Rd Bonita California, 91902"
34,"1665 Sandy Shore St San Diego California, 92139"
35,"Exchange Ave Coronado California, 92118"
36,"219 E Harbor Dr San Diego California, 92101"
37,"4192 Lomaland Dr San Diego California, 92106"
38,"4139 Lomaland Dr San Diego California, 92106"
39,"4098 John St San Diego California, 92106"
40,"1476 Harbor Island Dr San Diego California, 92101"
41,"2833 Kurtz St San Diego California, 92110"
42,"5717 Marian Way San Diego California, 92110"
44,"3181 Cowley Way San Diego California, 92117"
46,"2005 Via Casa Alta San Diego California, 92037"
47,"111 Sychar Rd San Diego California, 92114"
48,"398 Willie James Jones Ave San Diego California, 92102"
49,"4245 J St San Diego California, 92102"
50,"8838 Innsdale Ave Spring Valley California, 91977"
51,"33 9th Ave San Diego California, 92101"
52,"3559 Market St San Diego California, 92102"
53,"2296 Kings View Cir Spring Valley California, 91977"
54,"10186 Austin Dr Spring Valley California, 91977"
55,"3015 Zoo Dr San Diego California, 92101"
56,"2841 Jamacha Rd El Cajon California, 92019"
57,"7974 Broadway Lemon Grove California, 91945"
59,"9376 Kenwood Dr Spring Valley California, 91977"
60,"8105 Lemon Grove Way Lemon Grove California, 91945"
61,"10655 Olvera Rd Spring Valley California, 91977"
62,"4918 Orange Ave San Diego California, 92115"
63,"4232 Bancroft Dr La Mesa California, 91941"
65,"3284 Adams Ave San Diego California, 92116"
66,"5252 55th St San Diego California, 92115"
67,"5162 E Campus Dr San Diego California, 92115"
68,"2288 Fenton Pkwy San Diego California, 92108"
69,"5813 Canyon Crest Dr San Diego California, 92115"
70,"9127 Friars Rd San Diego California, 92108"
71,"1497 Granite Hills Dr El Cajon California, 92019"
72,"413 W Lexington Ave El Cajon California, 92020"
73,"6516 Park Ridge Blvd San Diego California, 92120"
74,"Valley Rim Rd El Cajon California, 92019"
75,"8806 Lake Murray Blvd San Diego California, 92119"
76,"519 Fletcher Pkwy El Cajon California, 92020"
77,"7836 Deerfield St San Diego California, 92120"
79,"9246 Balboa Ave San Diego California, 92123"
80,"9494 Mission Gorge Rd Santee California, 92071"
82,"3856 Nobel Dr San Diego California, 92122"
83,"5299 Fiore Ter San Diego California, 92122"
84,"8395 Camino Santa Fe San Diego California, 92121"
85,"9834 Genesee Ave San Diego California, 92037"
86,"9733 Towne Centre Dr San Diego California, 92121"
87,"8692 Camino Santa Fe San Diego California, 92121"
88,"4319 Campus Point Ct San Diego California, 92121"
89,"2835 Torrey Pines Scenic Dr San Diego California, 92037"
91,"6365 Nancy Ridge Dr San Diego California, 92121"
92,"3575 John Hopkins Ct San Diego California, 92121"
93,"5517 Morehouse Dr San Diego California, 92121"
94,"5888 Oberlin Dr San Diego California, 92121"
95,"6009 Cornerstone Ct W San Diego California, 92121"
98,"10705 Roselle St San Diego California, 92121"
100,"3099 Science Park Rd San Diego California, 92121"
101,"5908 Pacific Center Blvd San Diego California, 92121"
102,"11023 Caminito Alvarez San Diego California, 92126"
103,"11056 W Ocean Air Dr San Diego California, 92130"
104,"11260 El Camino Real San Diego California, 92130"
105,"11593 El Camino Real San Diego California, 92130"
106,"3800 Valley Centre Dr San Diego California, 92130"
107,"12889 El Camino Real San Diego California, 92130"
108,"14284 Caminito Pacifica Trl San Diego California, 92130"
110,"314 Hilmen Dr Solana Beach California, 92075"
111,"Cypress Dr Santee California, 92071"
112,"CA-52 W San Diego California, 92145"
113,"10096 River St Lakeside California, 92040"
115,"7128 Miramar Rd San Diego California, 92121"
116,"Miramar Way San Diego California, 92145"
117,"Altair Ave San Diego California, 92145"
118,"Altair Ave San Diego California, 92145"
119,"7728 Miramar Rd San Diego California, 92126"
120,"7729 Kenamar Ct San Diego California, 92121"
121,"7789 Arjons Dr San Diego California, 92126"
122,"9470 Candida St San Diego California, 92126"
123,"9546 Kearny Villa Rd San Diego California, 92126"
124,"9779 Candida St San Diego California, 92126"
125,"9843 Maya Linda Rd San Diego California, 92126"
126,"Slaughter House Canyon Rd Lakeside California, 92040"
127,"Miramar College Drwy San Diego California, 92126"
129,"10664 Stoney Way San Diego California, 92131"
130,"12246 Scripps Summit Dr San Diego California, 92131"
131,"12701 Welton Ln Poway California, 92064"
132,"11121 Via Toscana San Diego California, 92129"
133,"11757 Windcrest Ln San Diego California, 92128"
134,"14554 Espola Rd Poway California, 92064"
135,"14896 Waverly Downs Way San Diego California, 92128"
136,"Conference Way San Diego California, 92128"
137,"11666 Rancho Carmel Dr San Diego California, 92128"
138,"23401 Calistoga Pl Ramona California, 92065"
139,"399 El Pedregal Dr Solana Beach California, 92075"
140,"3027 Manchester Ave Encinitas California, 92007"
142,"1404 S El Camino Real Encinitas California, 92024"
143,"195 Rancho Santa Fe Rd S Encinitas California, 92024"
144,"1500 Calle Violetas Encinitas California, 92024"
145,"1100 Garden View Rd Encinitas California, 92024"
146,"864 Via Cantebria Encinitas California, 92024"
147,"1753 Gascony Rd Encinitas California, 92024"
148,"7136 Four Seasons Carlsbad California, 92011"
149,"1635 Turquoise Dr Carlsbad California, 92011"
150,"2079 Camino Vida Roble Carlsbad California, 92011"
151,"1186 Via Vera Cruz San Marcos California, 92078"
152,"5899 Edison Pl Carlsbad California, 92008"
153,"6159 Corte del Cedro Carlsbad California, 92011"
154,"1938 Kellogg Ave Carlsbad California, 92008"
155,"5720 Armada Dr Carlsbad California, 92008"
156,"808 S Rancho Santa Fe Rd San Marcos California, 92078"
157,"2828 Loker Ave E Carlsbad California, 92010"
158,"2767 Loker Ave W Carlsbad California, 92010"
159,"2221 Faraday Ave Carlsbad California, 92008"
160,"1655 Grandon Ave San Marcos California, 92078"
161,"1863 Rutherford Rd Carlsbad California, 92008"
162,"1527 Faraday Ave Carlsbad California, 92008"
163,"College Blvd Carlsbad California, 92008"
164,"15644 Espola Rd Poway California, 92064"
165,"16290 W Bernardo Dr San Diego California, 92127"
166,"18301 Old Carousel Ranch Rd Ramona California, 92065"
167,"16979 Camino San Bernardo San Diego California, 92127"
168,"10201 Rancho Bernardo Rd San Diego California, 92127"
169,"16956 Four Gee Rd San Diego California, 92127"
171,"848 Oak Ln Escondido California, 92029"
